flat_type,price,address,buildup_area,which_floor,furnishing,bedrooms,balcony
1 BHK Flat,1.5,Dadar East,450,lower,Semi Furnished,1.0,0.0
1 BHK Flat,2.25,Agripada,720,middle,Unfurnished,1.0,0.0
1 BHK Flat,1.5,Byculla,645,middle,Semi Furnished,1.0,0.0
1 BHK Flat,1.82,others,450,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.25,Naigaon East,530,lower,Unfurnished,1.0,3.0
1 BHK Flat,0.92,Kandivali East,550,middle,Semi Furnished,2.0,0.0
1 BHK Flat,0.31,Virar West,670,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.32,Virar West,670,lower,Semi Furnished,1.0,2.0
1 BHK Flat,1.25,Ghatkopar East,550,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.1,Ghatkopar East,450,lower,Semi Furnished,1.0,1.0
1 BHK Flat,1.05,Mulund West,600,middle,Semi Furnished,1.0,0.0
1 BHK Flat,1.7,Vile Parle East,550,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.83,Vikhroli East,450,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.8,Bhandup West,615,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.27,Virar West,650,lower,Semi Furnished,1.0,3.0
1 BHK Flat,0.8,Vikhroli East,650,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.82,Vikhroli East,653,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.85,Vikhroli East,653,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.25,Jogeshwari West,750,lower,Unfurnished,2.0,0.0
1 BHK Flat,1.85,Byculla,490,middle,Semi Furnished,1.0,1.0
1 BHK Flat,1.1,Andheri East,600,lower,Semi Furnished,1.0,0.0
1 BHK Flat,2.2,Vile Parle West,456,lower,Semi Furnished,1.0,0.0
1 BHK Flat,2.1,Matunga East,450,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.85,Dadar West,500,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.8,Madanpura,350,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.25,Kandivali West,550,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.25,Parel,375,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.5,Kandivali West,449,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.42,Kandivali East,325,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.63,Thane West,680,middle,Semi Furnished,1.0,1.0
1 BHK Flat,1.3,Kandivali West,580,lower,Unfurnished,1.0,1.0
1 BHK Flat,0.25,Naigaon East,500,lower,Semi Furnished,1.0,3.0
1 BHK Flat,1.1,Kandivali West,620,lower,Unfurnished,1.0,0.0
1 BHK Flat,1.05,Malad West,587,middle,Unfurnished,2.0,2.0
1 BHK Flat,1.0,Malad West,587,middle,Unfurnished,2.0,2.0
1 BHK Flat,1.05,Malad West,725,lower,Semi Furnished,1.0,3.0
1 BHK Flat,0.85,Malad East,500,middle,Semi Furnished,1.0,0.0
1 BHK Flat,1.6,Santacruz East,600,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.85,Vikhroli East,500,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.63,Mira Road East,550,middle,Unfurnished,1.0,2.0
1 BHK Flat,0.33,Naigaon East,510,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.9,Dahisar East,610,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.45,Andheri West,450,middle,Semi Furnished,1.0,0.0
1 BHK Flat,1.05,Malad West,600,lower,Fully Furnished,1.0,2.0
1 BHK Flat,0.9,Vikhroli East,750,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.94,Vikhroli East,622,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.9,Vikhroli East,648,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.85,Vikhroli East,500,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.9,Vikhroli East,600,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.1,Ghatkopar East,660,lower,Unfurnished,1.0,0.0
1 BHK Flat,1.2,Ghatkopar East,674,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.9,Vikhroli East,664,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.85,Vikhroli East,660,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.75,Mira Road East,650,middle,Semi Furnished,1.0,2.0
1 BHK Flat,0.75,Mira Road East,600,middle,Unfurnished,1.0,2.0
1 BHK Flat,0.2,Vasai East,550,middle,Unfurnished,2.0,0.0
1 BHK Flat,1.6,Dadar West,360,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.25,Malad East,500,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.22,Powai,550,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.0,Andheri East,333,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.9,Malad West,540,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.85,Mira Road East,490,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.65,Mira Road East,425,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.78,Parel,525,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.65,Parel,380,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.2,Sion,425,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.08,Lower Parel,310,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.85,Kandivali West,430,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.65,Bhayandar East,449,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.6,Bhayandar East,430,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.58,Bhayandar West,484,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.45,Mira Road East,280,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.45,Bhayandar West,459,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.32,Bhayandar East,480,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.25,Kanjurmarg West,472,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.97,Ghatkopar East,550,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.25,Borivali East,587,lower,Semi Furnished,1.0,1.0
1 BHK Flat,1.1,Borivali East,710,middle,Unfurnished,2.0,1.0
1 BHK Flat,1.08,Bhandup West,465,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.95,Bhandup West,450,middle,Unfurnished,2.0,0.0
1 BHK Flat,1.38,Goregaon West,550,middle,Unfurnished,1.0,0.0
1 BHK Flat,1.09,Govandi,560,lower,Fully Furnished,2.0,0.0
1 BHK Flat,1.1,Malad West,600,lower,Semi Furnished,1.0,3.0
1 BHK Flat,0.84,Malad West,500,lower,Unfurnished,2.0,0.0
1 BHK Flat,1.3,Malad West,500,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.85,Andheri West,610,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.59,Mira Road East,557,lower,Semi Furnished,1.0,1.0
1 BHK Flat,0.4,Naigaon East,525,lower,Semi Furnished,2.0,2.0
1 BHK Flat,0.32,Naigaon East,600,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.38,Naigaon East,625,middle,Semi Furnished,2.0,0.0
1 BHK Flat,0.31,Naigaon East,560,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.34,Naigaon East,560,middle,Semi Furnished,1.0,2.0
1 BHK Flat,0.35,Naigaon East,525,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.55,Vasai West,675,lower,Unfurnished,1.0,2.0
1 BHK Flat,0.34,Naigaon East,725,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.32,Naigaon East,725,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.37,Naigaon East,750,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.34,Naigaon East,640,middle,Unfurnished,1.0,2.0
1 BHK Flat,0.33,Naigaon East,620,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.35,Naigaon East,570,middle,Semi Furnished,2.0,2.0
1 BHK Flat,0.41,Virar West,610,lower,Semi Furnished,2.0,2.0
1 BHK Flat,0.33,Naigaon East,600,middle,Semi Furnished,1.0,3.0
1 BHK Flat,0.37,Vasai East,695,lower,Semi Furnished,2.0,2.0
1 BHK Flat,0.25,Naigaon East,500,lower,Unfurnished,1.0,3.0
1 BHK Flat,0.42,Virar West,640,middle,Unfurnished,2.0,2.0
1 BHK Flat,0.34,Naigaon East,695,lower,Semi Furnished,1.0,3.0
1 BHK Flat,0.34,Naigaon East,710,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.1,Kandivali West,850,middle,Semi Furnished,2.0,0.0
1 BHK Flat,1.45,Lower Parel,475,middle,Semi Furnished,1.0,2.0
1 BHK Flat,0.67,Mira Road East,700,lower,Semi Furnished,1.0,3.0
1 BHK Flat,1.25,Borivali West,480,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.3,Naigaon East,575,lower,Semi Furnished,1.0,3.0
1 BHK Flat,0.28,Nalasopara West,580,lower,Semi Furnished,2.0,3.0
1 BHK Flat,0.24,Naigaon East,500,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.71,Mira Road East,650,lower,Unfurnished,1.0,2.0
1 BHK Flat,0.9,Kandivali East,625,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.95,Kandivali East,625,middle,Semi Furnished,1.0,0.0
1 BHK Flat,1.0,Kandivali East,625,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.26,Naigaon East,590,lower,Unfurnished,1.0,2.0
1 BHK Flat,1.15,Jogeshwari West,650,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.88,Vikhroli East,500,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.88,Vikhroli East,450,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.3,Naigaon East,600,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.25,Naigaon East,460,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.25,Naigaon East,400,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.54,Mira Road East,650,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.52,Mira Road East,600,lower,Unfurnished,1.0,2.0
1 BHK Flat,1.3,Jogeshwari West,425,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.84,Goregaon West,362,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.34,Naigaon East,695,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.22,Vasai East,430,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.58,Mira Road East,715,lower,Semi Furnished,2.0,3.0
1 BHK Flat,0.38,Naigaon East,610,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.58,Mira Road East,720,lower,Semi Furnished,1.0,3.0
1 BHK Flat,1.65,Ghatkopar East,600,lower,Semi Furnished,1.0,1.0
1 BHK Flat,1.55,Dadar West,450,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.95,Malad West,500,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.8,Vikhroli East,395,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.78,Kandivali West,450,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.9,Kandivali West,450,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.88,Kandivali West,600,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.83,Goregaon West,390,lower,Unfurnished,2.0,0.0
1 BHK Flat,0.85,Kandivali West,550,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.86,Malad West,550,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.7,Vikhroli East,358,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.1,Goregaon West,550,middle,Semi Furnished,1.0,0.0
1 BHK Flat,1.54,Sion,511,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.34,Naigaon East,620,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.33,Naigaon East,580,lower,Semi Furnished,1.0,3.0
1 BHK Flat,0.75,Kandivali West,338,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.8,Kandivali West,450,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.33,Virar West,630,lower,Semi Furnished,2.0,2.0
1 BHK Flat,0.34,Virar West,630,lower,Semi Furnished,2.0,2.0
1 BHK Flat,2.5,Dadar West,700,middle,Semi Furnished,2.0,0.0
1 BHK Flat,1.35,Mazgaon,550,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.7,Bhandup West,500,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.4,Vasai East,715,lower,Unfurnished,1.0,3.0
1 BHK Flat,0.27,Vasai East,575,lower,Unfurnished,1.0,3.0
1 BHK Flat,0.4,Nalasopara East,655,lower,Unfurnished,1.0,3.0
1 BHK Flat,0.28,Vasai East,630,lower,Unfurnished,1.0,2.0
1 BHK Flat,0.82,Vikhroli East,390,middle,Semi Furnished,2.0,0.0
1 BHK Flat,0.6,Mira Road East,750,lower,Semi Furnished,1.0,1.0
1 BHK Flat,0.61,Mira Road East,700,lower,Semi Furnished,1.0,3.0
1 BHK Flat,0.66,Thane West,650,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.58,Thane West,640,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.62,Thane West,640,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.25,Nalasopara West,590,lower,Unfurnished,1.0,2.0
1 BHK Flat,0.6,Mira Road East,650,middle,Semi Furnished,1.0,3.0
1 BHK Flat,1.35,Mazgaon,600,middle,Unfurnished,1.0,2.0
1 BHK Flat,1.35,Sion,728,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.41,Mira Road East,470,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.54,Mira Road East,550,middle,Unfurnished,1.0,2.0
1 BHK Flat,0.24,Naigaon East,500,lower,Unfurnished,1.0,2.0
1 BHK Flat,0.3,Naigaon East,590,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.3,Naigaon East,580,lower,Semi Furnished,1.0,3.0
1 BHK Flat,0.25,Naigaon East,540,lower,Semi Furnished,1.0,3.0
1 BHK Flat,0.24,Naigaon East,500,lower,Semi Furnished,1.0,3.0
1 BHK Flat,0.3,Naigaon East,560,lower,Semi Furnished,1.0,3.0
1 BHK Flat,1.0,Dadar East,650,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.27,Vasai East,650,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.45,Wadala,380,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.45,Mira Road East,570,middle,Unfurnished,1.0,2.0
1 BHK Flat,1.8,Matunga East,560,middle,Semi Furnished,1.0,0.0
1 BHK Flat,1.8,Prabhadevi,500,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.45,Vasai West,615,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.75,Vikhroli East,394,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.8,Vikhroli East,394,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.66,Mira Road East,800,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.75,Dahisar East,523,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.54,Mira Road East,557,lower,Unfurnished,2.0,1.0
1 BHK Flat,0.58,Bhayandar East,720,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.85,Dahisar West,945,lower,Unfurnished,2.0,0.0
4 BHK Flat,5.0,Kandivali East,2150,middle,Unfurnished,4.0,0.0
2 BHK Flat,2.55,Kandivali East,936,middle,Unfurnished,2.0,2.0
3 BHK Flat,4.5,Powai,1450,middle,Unfurnished,3.0,1.0
2 BHK Flat,2.49,Sion,960,lower,Semi Furnished,1.0,0.0
3 BHK Flat,1.95,Dahisar East,1250,lower,Unfurnished,3.0,0.0
2 BHK Flat,2.7,Powai,1150,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.95,others,999,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.4,Mulund East,600,lower,Unfurnished,2.0,0.0
3 BHK Flat,3.99,Mulund West,1886,lower,Semi Furnished,2.0,0.0
3 BHK Flat,3.8,Goregaon East,1500,lower,Fully Furnished,3.0,0.0
2 BHK Flat,3.54,Powai,950,lower,Semi Furnished,2.0,1.0
2 BHK Flat,3.5,Prabhadevi,1250,lower,Unfurnished,2.0,0.0
1 BHK Flat,0.75,Mira Road East,730,lower,Fully Furnished,1.0,3.0
1 BHK Flat,0.96,Borivali West,550,lower,Semi Furnished,1.0,0.0
2 BHK Flat,1.43,Malad West,650,middle,Unfurnished,2.0,0.0
6 BHK Flat,21.4,Bandra East,3504,middle,Semi Furnished,6.0,0.0
2 BHK Flat,1.4,Kanjurmarg East,800,lower,Unfurnished,2.0,0.0
3 BHK Flat,4.55,Mulund West,1451,middle,Semi Furnished,3.0,0.0
2 BHK Flat,3.1,Wadala East,1150,middle,Semi Furnished,2.0,1.0
3 BHK Flat,3.15,Kanjurmarg West,1200,middle,Semi Furnished,3.0,0.0
2 BHK Flat,3.7,Powai,1050,middle,Fully Furnished,2.0,0.0
3 BHK Flat,4.5,Mulund West,1560,middle,Unfurnished,3.0,1.0
3 BHK Flat,4.42,Jogeshwari East,1377,middle,Semi Furnished,3.0,2.0
2 BHK Flat,1.6,Mulund East,923,lower,Fully Furnished,2.0,0.0
3 BHK Flat,2.04,Malad West,1020,middle,Unfurnished,3.0,0.0
3 BHK Flat,4.5,Powai,1755,lower,Semi Furnished,3.0,3.0
2 BHK Flat,3.65,Mazgaon,900,lower,Fully Furnished,2.0,0.0
1 BHK Flat,0.95,Mulund West,700,lower,Fully Furnished,1.0,0.0
1 BHK Flat,0.98,Mulund West,452,lower,Semi Furnished,1.0,0.0
3 BHK Flat,4.32,Mulund West,1800,higher,Semi Furnished,3.0,1.0
3 BHK Flat,2.24,Malad West,1020,lower,Semi Furnished,3.0,0.0
1 BHK Flat,0.85,Kandivali West,678,middle,Unfurnished,1.0,0.0
2 BHK Flat,1.85,Kanjurmarg East,800,middle,Semi Furnished,2.0,0.0
3 BHK Flat,3.2,Bhandup West,1245,middle,Semi Furnished,3.0,3.0
3 BHK Flat,2.78,Bhandup West,1641,middle,Unfurnished,3.0,1.0
2 BHK Flat,1.57,Powai,810,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.22,Borivali East,700,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.28,Wadala East,520,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.18,Dahisar West,610,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.0,Kandivali East,650,middle,Semi Furnished,2.0,1.0
1 BHK Flat,0.74,Mira Road East,720,lower,Semi Furnished,1.0,2.0
3 BHK Flat,5.2,Sion,1836,middle,Semi Furnished,3.0,2.0
2 BHK Flat,3.25,Powai,1250,middle,Semi Furnished,2.0,0.0
2 BHK Flat,0.39,Virar West,935,lower,Unfurnished,2.0,3.0
1 BHK Flat,2.1,Andheri West,610,middle,Unfurnished,2.0,0.0
3 BHK Flat,3.4,Mulund West,1500,middle,Unfurnished,3.0,2.0
3 BHK Flat,3.15,Mulund West,1024,higher,Unfurnished,3.0,0.0
3 BHK Flat,2.25,Mulund West,1400,lower,Fully Furnished,3.0,0.0
2 BHK Flat,1.59,Malad West,768,middle,Unfurnished,2.0,0.0
2 BHK Flat,3.75,Madanpura,1237,lower,Fully Furnished,2.0,0.0
2 BHK Flat,2.9,Goregaon West,1100,lower,Semi Furnished,2.0,1.0
2 BHK Flat,4.75,Byculla,850,higher,Semi Furnished,2.0,0.0
3 BHK Flat,5.5,Dadar East,1600,middle,Semi Furnished,3.0,4.0
3 BHK Flat,4.5,Borivali East,1200,higher,Unfurnished,3.0,0.0
2 BHK Flat,2.4,Sion,950,middle,Semi Furnished,2.0,3.0
2 BHK Flat,3.5,Powai,1250,middle,Semi Furnished,2.0,1.0
2 BHK Flat,1.77,Bhandup West,950,middle,Fully Furnished,2.0,1.0
2 BHK Flat,2.0,Mulund East,680,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.43,Chembur,650,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.6,Kanjurmarg East,900,lower,Semi Furnished,2.0,0.0
2 BHK Flat,0.52,Virar West,850,lower,Semi Furnished,2.0,3.0
2 BHK Flat,7.0,Parel,1100,middle,Unfurnished,2.0,2.0
2 BHK Flat,0.36,Virar West,890,lower,Semi Furnished,2.0,1.0
3 BHK Flat,3.82,Malad West,1150,lower,Semi Furnished,3.0,2.0
3 BHK Flat,3.55,Goregaon East,2200,lower,Fully Furnished,3.0,3.0
2 BHK Flat,1.4,Kandivali West,850,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.95,Ghatkopar East,784,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.55,Kandivali West,410,middle,Semi Furnished,1.0,0.0
2 BHK Flat,1.55,Goregaon West,1100,lower,Unfurnished,2.0,0.0
3 BHK Flat,4.14,Vikhroli East,1433,lower,Semi Furnished,3.0,2.0
1 BHK Flat,0.39,Vasai East,780,lower,Semi Furnished,1.0,3.0
1 BHK Flat,1.08,Malad West,650,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.85,Dahisar West,500,lower,Fully Furnished,2.0,0.0
3 BHK Flat,3.05,Andheri West,900,lower,Unfurnished,2.0,3.0
1 BHK Flat,1.15,Malad East,630,lower,Semi Furnished,1.0,2.0
2 BHK Flat,1.24,Mira Road East,970,middle,Semi Furnished,2.0,1.0
1 BHK Flat,0.83,Ghatkopar East,600,lower,Unfurnished,1.0,0.0
3 BHK Flat,2.25,Malad West,988,lower,Fully Furnished,3.0,0.0
2 BHK Flat,1.7,Kandivali West,950,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.51,Kandivali West,426,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.61,Mira Road East,680,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.53,Malad West,410,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.53,Mira Road East,585,lower,Unfurnished,1.0,2.0
2 BHK Flat,1.85,Chembur,882,lower,Unfurnished,2.0,0.0
3 BHK Flat,3.25,Borivali East,1425,middle,Unfurnished,3.0,0.0
2 BHK Flat,3.51,Powai,950,lower,Semi Furnished,2.0,1.0
2 BHK Flat,1.95,Mulund West,864,middle,Semi Furnished,2.0,0.0
1 BHK Flat,0.97,Kandivali East,700,middle,Unfurnished,1.0,0.0
3 BHK Flat,2.96,Mulund West,1049,middle,Semi Furnished,3.0,0.0
1 BHK Flat,1.61,Powai,650,lower,Semi Furnished,1.0,0.0
3 BHK Flat,2.5,Borivali West,1250,lower,Unfurnished,3.0,1.0
1 BHK Flat,0.69,Mira Road East,650,lower,Semi Furnished,1.0,3.0
1 BHK Flat,1.5,Sion,500,middle,Unfurnished,1.0,1.0
1 BHK Flat,1.03,Malad West,602,middle,Unfurnished,1.0,0.0
3 BHK Flat,4.3,Borivali East,1200,higher,Unfurnished,3.0,0.0
3 BHK Flat,3.7,Bhandup West,1900,middle,Unfurnished,3.0,1.0
3 BHK Flat,2.15,Chembur,1320,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.95,Dahisar West,580,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.25,Kandivali West,700,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.8,Andheri West,850,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.72,Kanjurmarg West,661,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.91,Powai,800,lower,Unfurnished,2.0,2.0
3 BHK Flat,4.5,Andheri West,1650,middle,Unfurnished,3.0,0.0
4 BHK Flat,11.0,Parel,1854,higher,Semi Furnished,4.0,1.0
3 BHK Flat,9.25,Lower Parel,1600,higher,Fully Furnished,3.0,0.0
1 BHK Flat,1.35,Wadala East,585,lower,Fully Furnished,1.0,0.0
3 BHK Flat,3.35,Powai,1500,lower,Unfurnished,3.0,1.0
3 BHK Flat,5.25,Matunga East,2250,middle,Unfurnished,3.0,0.0
3 BHK Flat,3.75,Powai,1550,lower,Semi Furnished,3.0,1.0
3 BHK Flat,3.44,Kanjurmarg East,1573,middle,Semi Furnished,3.0,1.0
2 BHK Flat,2.66,Powai,1000,middle,Unfurnished,2.0,1.0
2 BHK Flat,1.8,Kurla East,695,lower,Fully Furnished,2.0,0.0
2 BHK Flat,3.15,Powai,1450,lower,Semi Furnished,2.0,1.0
3 BHK Flat,2.6,Bhandup West,1050,middle,Semi Furnished,3.0,0.0
2 BHK Flat,0.8,Goregaon East,764,lower,Unfurnished,2.0,0.0
3 BHK Flat,4.6,Goregaon East,2150,middle,Semi Furnished,3.0,1.0
2 BHK Flat,2.2,Powai,1200,lower,Unfurnished,1.0,3.0
3 BHK Flat,3.75,Sion,1500,middle,Unfurnished,3.0,4.0
2 BHK Flat,1.96,Bhandup West,1250,middle,Unfurnished,2.0,0.0
2 BHK Flat,1.08,Mira Road East,1050,lower,Semi Furnished,2.0,3.0
1 BHK Flat,1.2,Wadala East,463,lower,Semi Furnished,1.0,0.0
3 BHK Flat,5.75,Mazgaon,1820,middle,Semi Furnished,3.0,2.0
3 BHK Flat,9.25,Worli,1890,middle,Semi Furnished,3.0,0.0
2 BHK Flat,3.0,Powai,1405,middle,Semi Furnished,2.0,2.0
1 BHK Flat,1.4,Kanjurmarg East,750,middle,Fully Furnished,1.0,0.0
3 BHK Flat,2.8,Bhandup West,1350,middle,Semi Furnished,3.0,0.0
3 BHK Flat,4.46,Powai,1750,lower,Semi Furnished,3.0,4.0
3 BHK Flat,4.35,Chembur,1560,lower,Semi Furnished,3.0,2.0
1 BHK Flat,1.21,Byculla,577,lower,Fully Furnished,2.0,0.0
2 BHK Flat,2.1,Kanjurmarg West,975,middle,Semi Furnished,2.0,1.0
2 BHK Flat,1.7,Borivali West,950,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.71,Borivali East,800,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.96,Chembur,695,middle,Semi Furnished,1.0,0.0
2 BHK Flat,2.0,Andheri East,1237,lower,Unfurnished,2.0,1.0
2 BHK Flat,1.75,Chembur,1000,lower,Semi Furnished,2.0,0.0
4 BHK Flat,4.5,Mulund West,1900,middle,Semi Furnished,4.0,1.0
1 BHK Flat,1.0,Kandivali East,615,lower,Unfurnished,1.0,1.0
1 BHK Flat,0.75,Kandivali West,540,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.9,Borivali West,710,lower,Fully Furnished,2.0,0.0
1 BHK Flat,1.1,Kandivali West,600,lower,Semi Furnished,1.0,0.0
3 BHK Flat,1.88,Mira Road East,1395,lower,Fully Furnished,3.0,3.0
1 BHK Flat,0.85,Malad West,580,lower,Semi Furnished,1.0,0.0
2 BHK Flat,1.8,Goregaon East,800,middle,Unfurnished,2.0,1.0
1 BHK Flat,0.65,Goregaon East,560,lower,Fully Furnished,1.0,1.0
1 BHK Flat,0.61,Mira Road East,690,middle,Unfurnished,1.0,2.0
1 BHK Flat,1.2,Wadala,575,lower,Semi Furnished,1.0,0.0
3 BHK Flat,4.51,Powai,1550,lower,Semi Furnished,3.0,3.0
2 BHK Flat,3.5,Powai,950,middle,Semi Furnished,2.0,1.0
3 BHK Flat,3.85,Kandivali East,1162,middle,Semi Furnished,3.0,4.0
2 BHK Flat,2.35,Borivali West,1250,lower,Semi Furnished,2.0,0.0
2 BHK Flat,2.12,Goregaon East,864,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.8,Kandivali East,1010,middle,Unfurnished,2.0,0.0
2 BHK Flat,0.44,Nalasopara West,880,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.75,Malad East,584,middle,Unfurnished,2.0,0.0
